name,type,distance,moving_time,average_speed,max_speed,total_elevation_gain,start_date_local,average_heartrate,start_time
Evening Run,Run,713.0,301,2.369,4.348,0.0,2022-12-08,151.1,20:56:16
Evening Run,Run,4045.5,1239,3.265,8.458,51.0,2022-12-08,158.5,20:33:30
Night Run,Run,673.1,257,2.619,4.705,0.0,2022-12-07,165.8,21:18:03
Evening Run,Run,4017.7,1290,3.114,4.844,57.0,2022-12-07,155.9,20:55:04
Evening Run,Run,4796.9,1627,2.948,5.496,50.0,2022-12-05,150.8,20:07:02
Night Run,Run,774.9,321,2.414,4.526,1.0,2022-11-30,141.9,21:08:49
Evening Run,Run,4020.6,1232,3.263,5.5,47.0,2022-11-30,154.7,20:45:53
Afternoon Run,Run,5641.3,2213,2.549,4.273,27.0,2022-11-26,147.6,14:13:13
Afternoon Run,Run,1243.7,564,2.205,3.106,21.0,2022-11-26,138.6,14:01:38
Night Run,Run,712.2,320,2.226,3.846,0.0,2022-11-24,144.2,21:07:01
Evening Run,Run,4017.3,1222,3.287,9.034,43.0,2022-11-24,160.9,20:44:01
Evening Run,Run,692.6,307,2.256,4.15,0.0,2022-11-22,141.9,20:58:12
Evening Run,Run,4021.6,1240,3.243,4.97,47.0,2022-11-22,162.2,20:34:07
Afternoon Run,Run,434.4,241,1.803,3.847,0.0,2022-11-20,141.8,17:42:45
Afternoon Run,Run,4024.2,1243,3.237,7.613,41.0,2022-11-20,159.5,17:19:38
Afternoon Run,Run,687.1,436,1.576,3.103,0.0,2022-11-18,109.7,17:44:27
Afternoon Run,Run,4012.8,1390,2.887,5.318,37.0,2022-11-18,151.0,17:18:59
Night Run,Run,679.4,314,2.164,6.82,0.0,2022-11-15,145.1,21:01:26
Evening Run,Run,4024.8,1265,3.182,6.79,45.0,2022-11-15,145.1,20:38:55
Evening Run,Run,6011.2,1985,3.028,7.153,43.0,2022-11-13,162.8,20:56:42
Afternoon Swim,Swim,575.0,1743,0.33,1.786,0.0,2022-11-12,104.0,15:46:42
Evening Run,Run,6009.5,1931,3.112,5.165,58.0,2022-11-09,168.3,20:36:23
Evening Run,Run,4019.5,1431,2.809,4.855,34.0,2022-11-07,147.4,20:53:56
Morning Swim,Swim,500.0,1319,0.379,4.166,0.0,2022-11-06,102.5,09:07:12
Morning Swim,Swim,300.0,1005,0.299,5.0,0.0,2022-11-05,96.9,08:36:48
Evening Run,Run,4014.1,1620,2.478,4.91,33.0,2022-11-03,141.5,20:49:48
Night Run,Run,201.7,109,1.85,3.913,0.0,2022-11-01,145.5,21:25:27
Night Run,Run,4154.1,1280,3.245,5.347,49.0,2022-11-01,168.2,21:02:26
Night Run,Run,494.9,295,1.678,3.316,0.0,2022-10-30,125.9,21:16:56
Evening Run,Run,4045.8,1268,3.191,4.784,48.0,2022-10-30,154.3,20:54:18
Lunch Run,Run,2804.0,1434,1.955,3.083,26.0,2022-10-30,143.6,11:08:53
Night Run,Run,496.6,209,2.376,4.148,0.0,2022-10-27,143.2,21:20:05
Evening Run,Run,4143.2,1319,3.141,7.874,43.0,2022-10-27,161.3,20:55:11
Evening Run,Run,5001.0,1649,3.033,4.265,53.0,2022-10-25,163.0,20:48:39
Afternoon Run,Run,4625.5,1543,2.998,5.8,40.0,2022-10-24,145.7,17:11:59
Evening Run,Run,6018.0,1896,3.174,5.01,49.0,2022-10-21,158.4,20:38:21
Evening Run,Run,6015.5,1961,3.068,6.174,49.0,2022-10-18,163.1,20:20:48
Afternoon Run,Run,1014.5,424,2.393,3.156,5.0,2022-10-15,143.6,13:24:26
Lunch Run,Run,7013.7,2263,3.099,5.038,47.0,2022-10-15,159.9,12:40:16
Lunch Run,Run,1152.9,502,2.297,3.012,19.0,2022-10-15,148.0,12:28:37
Night Run,Run,550.4,195,2.823,5.077,0.0,2022-10-12,153.0,21:09:29
Evening Run,Run,5136.7,1705,3.013,5.613,50.0,2022-10-12,153.7,20:38:37
Evening Run,Run,8089.3,2664,3.037,5.738,70.0,2022-10-09,160.8,20:40:57
Lunch Run,Run,5012.7,1630,3.075,5.592,44.0,2022-10-08,151.3,11:02:01
Lunch Run,Run,2.7,8,0.338,0.338,0.0,2022-10-06,,11:55:58
Night Run,Run,8122.3,2795,2.906,4.793,57.0,2022-10-05,164.9,21:08:33
Night Run,Run,1056.8,204,5.18,5.122,15.0,2022-10-05,130.4,21:04:02
Evening Run,Run,6008.8,1994,3.013,5.736,55.0,2022-09-29,165.0,20:49:35
Night Run,Run,6020.1,1839,3.274,7.37,90.0,2022-09-26,151.7,21:21:43
Night Run,Run,5020.4,1784,2.814,5.445,49.0,2022-09-25,155.7,22:12:44
Evening Run,Run,657.9,472,1.394,3.538,27.0,2022-09-20,124.9,18:56:43
Evening Run,Run,4028.2,1749,2.303,3.688,35.0,2022-09-20,150.6,18:24:32
Afternoon Run,Run,5116.8,1689,3.029,6.3,49.0,2022-09-17,160.1,17:22:00
Evening Run,Run,6006.9,1871,3.211,4.813,49.0,2022-09-14,152.3,20:48:17
Evening Run,Run,6000.2,1926,3.115,4.98,78.0,2022-09-11,174.0,20:35:19
Evening Run,Run,7016.4,2412,2.909,5.14,59.0,2022-09-08,157.6,20:19:32
Evening Run,Run,8005.3,2687,2.979,6.526,62.0,2022-09-03,161.9,18:31:31
Evening Run,Run,8015.9,2650,3.025,6.809,194.0,2022-08-29,161.5,20:46:08
Morning Run,Run,2597.3,1261,2.06,2.966,33.0,2022-08-28,122.3,10:39:34
Night Run,Run,7015.1,2283,3.073,5.418,61.0,2022-08-24,161.4,21:28:07
Evening Run,Run,8010.5,2658,3.014,6.238,64.0,2022-08-15,153.3,20:46:03
Night Run,Run,7056.1,2345,3.009,7.928,58.0,2022-08-10,153.4,21:24:22
Evening Run,Run,4017.3,1179,3.407,8.435,31.0,2022-08-08,147.5,20:56:05
Evening Run,Run,477.3,171,2.791,4.738,22.0,2022-08-08,111.7,20:50:28
Afternoon Run,Run,5039.8,2148,2.346,4.406,46.0,2022-08-07,147.5,15:02:25
Evening Run,Run,8022.1,2499,3.21,6.774,43.0,2022-08-04,165.0,20:01:10
Evening Run,Run,1448.9,658,2.202,3.945,24.0,2022-08-04,124.7,19:44:48
Evening Run,Run,8255.3,2560,3.225,5.324,40.0,2022-08-01,171.4,20:37:12
Evening Run,Run,1383.4,617,2.242,4.835,103.0,2022-08-01,141.6,20:21:28
Lunch Run,Run,3373.5,2477,1.362,3.844,30.0,2022-07-30,107.8,11:49:26
Evening Run,Run,8509.0,2774,3.067,7.116,39.0,2022-07-28,168.7,20:29:18
Evening Run,Run,1478.9,625,2.366,4.484,29.0,2022-07-28,140.2,20:14:51
Morning Run,Run,7004.4,2798,2.503,4.303,52.0,2022-07-26,154.1,10:12:31
Morning Run,Run,135.3,56,2.416,2.779,0.0,2022-07-26,104.4,10:10:37
Afternoon Run,Run,9519.0,3774,2.522,4.445,72.0,2022-07-16,154.3,14:55:38
Afternoon Run,Run,161.8,68,2.38,4.278,0.0,2022-07-16,107.3,14:52:00
Evening Run,Run,8009.2,2471,3.241,6.412,36.0,2022-07-13,173.4,20:41:54
Evening Run,Run,1420.2,606,2.344,4.966,106.0,2022-07-13,140.5,20:27:48
Evening Run,Run,8086.1,2775,2.914,4.61,38.0,2022-07-11,174.4,20:30:22
Evening Run,Run,1423.1,646,2.203,4.772,103.0,2022-07-11,136.4,20:16:02
Morning Run,Run,3501.9,2606,1.344,3.187,40.0,2022-07-10,107.2,09:47:15
Lunch Run,Run,4348.2,2687,1.618,10.858,48.0,2022-07-03,108.0,11:18:40
Evening Run,Run,8183.7,2521,3.246,5.342,38.0,2022-06-29,165.5,20:55:34
Evening Run,Run,1513.1,661,2.289,10.447,33.0,2022-06-29,127.0,20:39:56
Night Run,Run,6264.8,2073,3.022,6.636,47.0,2022-06-27,161.4,21:21:01
Night Run,Run,8269.0,2685,3.08,7.052,117.0,2022-06-23,162.6,21:36:49
Night Run,Run,8112.4,2616,3.101,6.083,76.0,2022-06-20,159.0,21:34:27
Evening Run,Run,8148.3,2604,3.129,6.904,117.0,2022-06-18,155.7,20:41:39
Evening Run,Run,7005.6,2352,2.979,7.58,54.0,2022-06-13,160.6,20:58:55
Evening Run,Run,8017.2,2654,3.021,6.07,71.0,2022-06-08,165.0,20:47:12
Evening Run,Run,7000.5,2442,2.867,5.582,40.0,2022-06-05,164.3,20:38:17
Night Run,Run,6005.2,2171,2.766,6.499,45.0,2022-06-02,164.3,21:05:29
Night Run,Run,4885.6,1769,2.762,9.634,65.0,2022-05-31,165.9,22:08:37
Afternoon Run,Run,11019.6,3567,3.089,6.13,71.0,2022-05-21,164.1,15:41:22
Afternoon Run,Run,148.6,53,2.803,3.832,1.0,2022-05-21,104.7,15:38:21
Afternoon Run,Run,8017.5,2996,2.676,4.515,68.0,2022-05-15,160.2,17:36:45
